iter	Logloss
168	0.388317574
169	0.3877873177
170	0.3873742188
171	0.3869565844
172	0.3865544809
173	0.3860129555
174	0.3856002523
175	0.385435999
176	0.3849131558
177	0.3847376149
178	0.384429155
179	0.3841541088
180	0.3835351214
181	0.3831438385
182	0.3826109503
183	0.3825347352
184	0.3823019253
185	0.3820708923
186	0.3819890116
187	0.3818799536
188	0.3813674137
189	0.3808435026
190	0.3805474715
191	0.38049524
192	0.3799159226
193	0.3794651026
194	0.3792573487
195	0.3788134296
196	0.3784439763
197	0.3778822217
198	0.3776798512
199	0.3773142117
200	0.3771832465
201	0.3768566516
202	0.3766008118
203	0.3764054545
204	0.3759755054
205	0.3754871972
206	0.3748734945
207	0.3745849653
208	0.3741904772
209	0.3736898322
210	0.3733948611
211	0.3728140124
212	0.3725328495
213	0.3719730191
214	0.3716204523
215	0.371330604
216	0.3708609671
217	0.3704019183
218	0.3700416305
219	0.3696349441
220	0.3693442908
221	0.3690013765
222	0.3685179209
223	0.3683791335
224	0.368094122
225	0.3679385392
226	0.3676415714
227	0.3673356587
228	0.3670077432
229	0.3667569573
230	0.3663844131
231	0.3659829225
232	0.3657420474
233	0.3652699159
234	0.365017514
235	0.3646272754
236	0.3645476083
237	0.3644264851
238	0.3639304455
239	0.363643657
240	0.3633675739
241	0.3632310277
242	0.3631646982
243	0.3629886743
244	0.3627410193
245	0.3626295603
246	0.3624010683
247	0.362180622
248	0.3619399987
249	0.3618419474
250	0.3615654088
251	0.3614458438
252	0.3611257896
253	0.3608107589
254	0.3603443396
255	0.3600371096
256	0.3598550312
257	0.3596156629
258	0.3594473759
259	0.3593990677
260	0.3593798161
261	0.3589835869
262	0.3588390836
263	0.3585065247
264	0.358216903
265	0.3580301576
266	0.3579910821
267	0.3577328172
268	0.3572870439
269	0.357051218
270	0.356721605
271	0.3564647933
272	0.3562382933
273	0.3561027461
274	0.3559482707
275	0.3556518093
276	0.3552985595
277	0.3550117382
278	0.3549978091
279	0.3548981537
280	0.3547186784
281	0.3546551617
282	0.3543598622
283	0.3542194895
284	0.3538703992
285	0.3536011106
286	0.3533876326
287	0.3530988735
288	0.3527783802
289	0.3525223499
290	0.3523232884
291	0.3522922197
292	0.3520105924
293	0.3517529928
294	0.3513856863
295	0.3513440587
296	0.3512689457
297	0.3508048093
298	0.3506743875
299	0.3505207312
300	0.3503350071
301	0.3500622443
302	0.3498706831
303	0.349696577
304	0.3496685558
305	0.3494145317
306	0.3491836139
307	0.3490041049
308	0.3488726318
309	0.3487109375
310	0.3484332027
311	0.3479891811
312	0.3478418965
313	0.3476373959
314	0.3472781221
315	0.3471317789
316	0.3470108229
317	0.3469285665
318	0.3467613607
319	0.3465611745
320	0.3464344709
321	0.3462611699
322	0.3461470822
323	0.3458265572
324	0.3456455334
325	0.3453308526
326	0.3451569952
327	0.3450408747
328	0.3449774985
329	0.3447753802
330	0.344722082
331	0.3445404184
332	0.3442912734
333	0.3442105384
334	0.3439850986
335	0.3438912124
336	0.3436756957
337	0.3435339257
338	0.343319621
339	0.3432700691
340	0.3432603128
341	0.3430401818
342	0.3428120703
343	0.3427626335
344	0.3425887249
345	0.3424575569
346	0.3424181424
347	0.3421567136
348	0.3420381237
349	0.3419722605
350	0.3416725169
351	0.3415455504
352	0.3414579108
353	0.3414227449
354	0.3413899234
355	0.3412931684
356	0.3409910577
357	0.3407441278
358	0.3406898613
359	0.3405451171
360	0.3404175606
361	0.3403386742
362	0.3402058849
363	0.3399443097
364	0.3397332336
365	0.339630598
366	0.3395009407
367	0.3393890179
368	0.3393361376
369	0.3392774359
370	0.3390945621
371	0.339080198
372	0.3390177614
373	0.3388730644
374	0.338625985
375	0.338415622
376	0.3381982842
377	0.3381720344
378	0.3379399584
379	0.3377636848
380	0.3375079226
381	0.3373341001
382	0.3372645179
383	0.3371304676
384	0.3370384462
385	0.3369854704
386	0.3369007954
387	0.3367953339
388	0.336703334
389	0.3365631125
390	0.3363393759
391	0.336190886
392	0.335909772
393	0.335839309
394	0.3357185052
395	0.3355640277
396	0.3355091697
397	0.3354223545
398	0.335386152
399	0.335228657
400	0.3351798347
401	0.3350445242
402	0.3348992291
403	0.3347605921
404	0.3344651505
405	0.334301808
406	0.3340752463
407	0.3340268596
408	0.3340089755
409	0.333862044
410	0.3337785542
411	0.3336381206
412	0.3336100508
413	0.3334369697
414	0.3333293043
415	0.3331786154
416	0.3329661755
417	0.3328576667
418	0.3327021115
419	0.3325644525
420	0.3322670154
421	0.3321587131
422	0.332134835
423	0.331970389
424	0.3318980239
425	0.331717574
426	0.3314697905
427	0.3312835827
428	0.3311234977
429	0.3310600473
430	0.3309465711
431	0.3308868961
432	0.3307604299
433	0.3306513982
434	0.3305479133
435	0.3304701663
436	0.3303252412
437	0.3301192847
438	0.3300176935
439	0.3299940025
440	0.3298428083
441	0.329710168
442	0.3296410944
443	0.3295386853
444	0.3294770853
445	0.3293900451
446	0.3292301199
447	0.3291124339
448	0.3290700668
449	0.3290557204
450	0.3290391578
451	0.3289487788
452	0.3288023176
453	0.3286413062
454	0.3285316368
455	0.3284435369
456	0.3282337361
457	0.3281288459
458	0.3281190821
459	0.3281178686
460	0.3280125409
461	0.3278503309
462	0.3278271904
463	0.3277255716
464	0.3276184005
465	0.3275523018
466	0.3275249831
467	0.3274966767
468	0.3273462098
469	0.3271626632
470	0.327074672
471	0.3270609935
472	0.3270523019
473	0.3269891272
474	0.3267986317
475	0.3267367094
476	0.3264844694
477	0.3262092832
478	0.3260625769
479	0.3258671148
480	0.3257406549
481	0.3256127928
482	0.3254128377
483	0.3252779293
484	0.3250283085
485	0.3249162279
486	0.3247476944
487	0.3246674455
488	0.3244444869
489	0.3242788115
490	0.3240748565
491	0.3238069952
492	0.3237090013
493	0.323485051
494	0.3234075266
495	0.3233701385
496	0.3232303837
497	0.3230680271
498	0.3228423399
499	0.3225627961
500	0.3225099655
501	0.3223426933
502	0.3221450228
503	0.3221231609
504	0.3220868838
505	0.3219694286
506	0.3218333783
507	0.3217744071
508	0.3216363853
509	0.3215135727
510	0.3213964846
511	0.3212161934
512	0.3211494967
513	0.3211472286
514	0.3210312516
515	0.3208671526
516	0.320737939
517	0.3204942591
518	0.3202496488
519	0.3201767729
520	0.3200126454
521	0.3199559195
522	0.3198572792
523	0.3197777491
524	0.3196851929
525	0.3196795044
526	0.319559268
527	0.3194653239
528	0.3193733953
529	0.3192326048
530	0.3191059626
531	0.3188661133
532	0.3186949606
533	0.3186444538
534	0.3185100988
535	0.3184468178
536	0.318252675
537	0.3181967316
538	0.3181417702
539	0.318114197
540	0.3180072097
541	0.3176964664
542	0.3176820632
543	0.3176016604
544	0.31749669
545	0.3174495706
546	0.3172673488
547	0.3172324087
548	0.3170358964
549	0.3170052869
550	0.316920951
551	0.316733752
552	0.3165030273
553	0.3164683368
554	0.316427851
555	0.316323799
556	0.3162053615
557	0.3160611345
558	0.3158665504
559	0.3156486351
560	0.3155039529
561	0.3154596086
562	0.3153316963
563	0.3151091849
564	0.3150108391
565	0.3149972528
566	0.3148514025
567	0.3147090564
568	0.3145905225
569	0.3144024318
570	0.3143615255
571	0.3141659759
572	0.3140025487
573	0.3138630391
574	0.3137497421
575	0.3136389948
576	0.3135740916
577	0.3135259317
578	0.3134486645
579	0.3133586756
580	0.3132532238
581	0.3130270857
582	0.3130164768
583	0.3127588066
584	0.3127569465
585	0.3125791643
586	0.3124664857
587	0.3122780943
588	0.3120458398
589	0.3119079899
590	0.3118114878
591	0.3117162598
592	0.3115860706
593	0.3115771265
594	0.3114392541
595	0.3113165221
596	0.3112940655
597	0.3111972779
598	0.3111349304
599	0.3109764882
600	0.3108864058
601	0.3106953477
602	0.3105169859
603	0.3104027321
604	0.3103959052
605	0.3102203479
606	0.3101272573
607	0.3099359291
608	0.3098449634
609	0.309723483
610	0.3096557804
611	0.3094356778
612	0.3094163085
613	0.3092998734
614	0.3092257707
615	0.3092180154
616	0.3091593617
617	0.3091259465
618	0.3089698313
619	0.3088779769
620	0.3088015069
621	0.3087395102
622	0.3086151874
623	0.3083889596
624	0.3083042763
625	0.3082806865
626	0.3081488375
627	0.3080738851
628	0.3079705986
629	0.3077735866
630	0.3076425447
631	0.3075958244
632	0.3073842985
633	0.3072536148
634	0.3072142942
635	0.3071047353
636	0.3070274059
637	0.3068573119
638	0.3068283183
639	0.3065999302
640	0.3065452408
641	0.3064798561
642	0.306320889
643	0.3062226899
644	0.3061228235
645	0.3060855334
646	0.3060732649
647	0.3059273154
648	0.3058245684
649	0.3056444054
650	0.3056006122
651	0.3055435003
652	0.3055195102
653	0.3054292607
654	0.3052272724
655	0.3050063725
656	0.3049748192
657	0.3048684882
658	0.3048465578
659	0.304473398
660	0.3043833907
661	0.304295323
662	0.3041506217
663	0.3040502054
664	0.3039131746
665	0.3038072606
666	0.303746899
667	0.3035430005
668	0.3034497966
669	0.3033426209
670	0.3032898775
671	0.3032302716
672	0.3030246667
673	0.3028822323
674	0.3028350203
675	0.3027759915
676	0.3027064965
677	0.3026641839
678	0.3024773947
679	0.3024362631
680	0.3022748025
681	0.3021906388
682	0.3019979312
683	0.3019918716
684	0.3018898657
685	0.3017083114
686	0.3016978243
687	0.3015992127
688	0.3015481552
689	0.3014880433
690	0.3014183486
691	0.3013570526
692	0.3012714786
693	0.3012261658
694	0.3011010005
695	0.3009251448
696	0.3008020138
697	0.3006788421
698	0.3006207215
699	0.3005311242
700	0.3004233943
701	0.3003496357
702	0.300348154
703	0.3000821054
704	0.2999606386
705	0.2997736001
706	0.2997078815
707	0.2996829903
708	0.2996285513
709	0.2995398922
710	0.299490589
711	0.2993304805
712	0.2992753787
713	0.2991949701
714	0.2991864143
715	0.2990996843
716	0.2990027764
717	0.298879307
718	0.2987721947
719	0.2986651057
720	0.2984833902
721	0.2982839576
722	0.2981984437
723	0.2981809287
724	0.2980883847
725	0.2978718975
726	0.2978340641
727	0.2977557115
728	0.2975991008
729	0.2974847839
730	0.2974303411
731	0.2974029961
732	0.2973019372
733	0.2970739803
734	0.2970279247
735	0.2968164309
736	0.2966476024
737	0.2965079394
738	0.2964427527
739	0.296389613
740	0.296307688
741	0.2962942915
742	0.2961271909
743	0.2960556028
744	0.2958816654
745	0.2958673301
746	0.2957227453
747	0.2955961092
748	0.295589434
749	0.2955289756
750	0.2954735094
751	0.2954280753
752	0.2953536989
753	0.2952083097
754	0.2951510861
755	0.2950885386
756	0.2950338049
757	0.2950279875
758	0.2948164439
759	0.2947852693
760	0.294693176
761	0.2946425872
762	0.2944547281
763	0.2943781599
764	0.2941843447
765	0.2940727835
766	0.2939042436
767	0.2938730864
768	0.2938668243
769	0.2936366681
770	0.2936234946
771	0.293529409
772	0.293444452
773	0.2933377354
774	0.2932987992
775	0.2932411359
776	0.2931649068
777	0.2930959215
778	0.2930337973
779	0.2929554425
780	0.2928714138
781	0.2928164213
782	0.292680643
783	0.2924232169
784	0.2923061923
785	0.2922930322
786	0.2921416032
787	0.2920254458
788	0.2918578338
789	0.2917899837
790	0.2916323185
791	0.2915502906
792	0.2914865641
793	0.2913728713
794	0.2911185299
795	0.2909463613
796	0.290768583
797	0.2906794933
798	0.2904184321
799	0.2902662279
800	0.2902502445
801	0.2900919914
802	0.2899725667
803	0.2899295331
804	0.2898500173
805	0.2897588082
806	0.2896585781
807	0.2896056158
808	0.2895652452
809	0.2894760633
810	0.2892739532
811	0.2891973383
812	0.2890849517
813	0.2890071324
814	0.2888572805
815	0.2888138928
816	0.2887468979
817	0.288696635
818	0.2886463106
819	0.2885171403
820	0.2884005858
821	0.2882854665
822	0.2882800029
823	0.2881118095
824	0.2879798646
825	0.2879334072
826	0.2878839054
827	0.2877582779
828	0.2876025137
829	0.2875453455
830	0.287475278
831	0.2873293712
832	0.2872074557
833	0.2872028792
834	0.2870719213
835	0.2869911128
836	0.2868814941
837	0.286766506
838	0.2867343547
839	0.2865316531
840	0.2863309047
841	0.2862427044
842	0.2862075418
843	0.286129297
844	0.2860975022
845	0.2858930481
846	0.2858887515
847	0.285713936
848	0.2856051449
849	0.2855682682
850	0.2855290674
851	0.285429578
852	0.2852491278
853	0.2851947317
854	0.2850842638
855	0.2849975838
856	0.2849568839
857	0.284751237
858	0.2847182217
859	0.2846064662
860	0.2844478018
861	0.2843717218
862	0.2842590523
863	0.2840793039
864	0.2839241432
865	0.2838119901
866	0.2837583334
867	0.2836777474
868	0.2834512165
869	0.2834306138
870	0.283382434
871	0.2833744564
872	0.28333557
873	0.2832763251
874	0.2831034582
875	0.2829567053
876	0.2828546118
877	0.282610329
878	0.2823909807
879	0.2823126559
880	0.2822625365
881	0.2822190346
882	0.2820836827
883	0.2820346715
884	0.2820033056
885	0.281947407
886	0.2817947853
887	0.2816831716
888	0.2816169407
889	0.281585763
890	0.2815522392
891	0.2815296927
892	0.2814643796
893	0.2813359403
894	0.2810552085
895	0.2809379465
896	0.2808547019
897	0.2808110905
898	0.2806701505
899	0.2806084357
900	0.280557209
901	0.2805174679
902	0.2804575987
903	0.2804114817
904	0.2803358517
905	0.2802863553
906	0.2801848569
907	0.2800652464
908	0.2800585925
909	0.279974979
910	0.2799419116
911	0.2798525554
912	0.2797202079
913	0.2796589258
914	0.2794379859
915	0.27939757
916	0.2793018517
917	0.2791682936
918	0.279079676
919	0.2789605931
920	0.2788980727
921	0.2788745498
922	0.2788025523
923	0.2787324616
924	0.2787076633
925	0.2786954607
926	0.2786642315
927	0.2785259488
928	0.2784174357
929	0.2783834494
930	0.2781986433
931	0.2781215632
932	0.2780285736
933	0.2778919527
934	0.2778294987
935	0.2775210778
936	0.2772792726
937	0.2771899284
938	0.2771622263
939	0.2770868044
940	0.2769997222
941	0.2768580404
942	0.2767956402
943	0.2767141317
944	0.2767070593
945	0.2766822484
946	0.276609932
947	0.276566823
948	0.2765143744
949	0.2763403214
950	0.2762746809
951	0.2761412511
952	0.2760209692
953	0.2759069325
954	0.2758245581
955	0.2757358834
956	0.2756876776
957	0.27563985
958	0.2755307763
959	0.2755218214
960	0.2754681801
961	0.2754129309
962	0.2753129307
963	0.2752567601
964	0.2751708904
965	0.2750745748
966	0.2750259183
967	0.2750029784
968	0.2749894282
969	0.2749160825
970	0.2748675302
971	0.274794434
972	0.2747350817
973	0.2746394788
974	0.2745979097
975	0.2745436632
976	0.274522135
977	0.2744444462
978	0.2743424485
979	0.2743086121
980	0.274302898
981	0.2741521987
982	0.2740688992
983	0.2740423551
984	0.2739021669
985	0.2738577713
986	0.2737205504
987	0.273661513
988	0.2734062155
989	0.2733053861
990	0.273221947
991	0.2731787733
992	0.2731436133
993	0.273109879
994	0.2730453568
995	0.272995498
996	0.2729496232
997	0.2728646006
998	0.2727704632
999	0.2727136258
