iter	Passed	Remaining
460	833	974
461	836	974
462	838	972
463	843	974
464	846	974
465	849	973
466	853	974
467	855	972
468	858	971
469	862	972
470	865	971
471	868	971
472	870	969
473	872	968
474	876	968
475	880	968
476	882	967
477	885	966
478	888	966
479	891	965
480	894	964
481	897	964
482	900	964
483	903	963
484	906	962
485	910	963
486	914	963
487	919	964
488	922	963
489	926	963
490	929	963
491	934	964
492	937	964
493	940	963
494	943	962
495	946	961
496	948	960
497	952	959
498	956	960
499	960	960
500	964	960
501	967	959
502	969	958
503	971	956
504	975	955
505	977	954
506	980	953
507	983	952
508	984	950
509	986	948
510	988	945
511	989	943
512	991	940
513	991	937
514	993	935
515	995	933
516	997	931
517	999	930
518	1000	927
519	1002	925
520	1004	923
521	1005	920
522	1007	918
523	1009	916
524	1011	914
525	1012	912
526	1014	910
527	1015	908
528	1017	905
529	1018	903
530	1020	900
531	1021	898
532	1023	896
533	1025	894
534	1026	892
535	1027	889
536	1029	887
537	1030	884
538	1031	882
539	1033	880
540	1035	878
541	1037	876
542	1039	874
543	1040	872
544	1041	869
545	1043	867
546	1046	866
547	1048	865
548	1050	862
549	1051	860
550	1053	858
551	1054	856
552	1057	854
553	1059	852
554	1060	850
555	1062	848
556	1064	846
557	1066	844
558	1067	842
559	1069	840
560	1070	837
561	1072	835
562	1074	834
563	1076	832
564	1078	830
565	1079	827
566	1080	825
567	1082	823
568	1083	820
569	1085	819
570	1088	817
571	1089	815
572	1091	813
573	1093	811
574	1095	809
575	1097	807
576	1099	805
577	1100	803
578	1102	801
579	1104	799
580	1105	797
581	1108	795
582	1109	793
583	1112	792
584	1113	789
585	1114	787
586	1116	785
587	1118	783
588	1119	781
589	1121	779
590	1122	777
591	1124	775
592	1126	773
593	1127	770
594	1129	768
595	1130	766
596	1134	766
597	1136	764
598	1139	762
599	1141	761
600	1143	759
601	1146	757
602	1147	755
603	1149	753
604	1150	750
605	1151	748
606	1153	747
607	1155	744
608	1156	742
609	1157	740
610	1159	738
611	1160	735
612	1161	733
613	1163	731
614	1165	729
615	1166	726
616	1167	724
617	1168	722
618	1169	720
619	1171	717
620	1172	715
621	1174	713
622	1176	711
623	1177	709
624	1179	707
625	1180	705
626	1183	703
627	1184	701
628	1186	699
629	1187	697
630	1189	695
631	1190	693
632	1192	691
633	1194	689
634	1196	687
635	1198	685
636	1199	683
637	1200	681
638	1202	679
639	1204	677
640	1205	675
641	1207	673
642	1209	671
643	1212	670
644	1213	667
645	1214	665
646	1216	663
647	1217	661
648	1219	659
649	1220	657
650	1223	655
651	1224	653
652	1226	651
653	1228	650
654	1230	647
655	1231	645
656	1232	643
657	1234	641
658	1236	639
659	1239	638
660	1240	636
661	1242	634
662	1243	632
663	1244	629
664	1246	627
665	1247	625
666	1249	623
667	1251	622
668	1252	619
669	1255	618
670	1256	616
671	1259	614
672	1260	612
673	1263	611
674	1266	609
675	1268	607
676	1269	605
677	1271	603
678	1273	601
679	1275	600
680	1277	598
681	1279	596
682	1282	595
683	1283	592
684	1285	591
685	1288	589
686	1289	587
687	1291	585
688	1292	583
689	1294	581
690	1295	579
691	1297	577
692	1299	575
693	1300	573
694	1301	571
695	1303	569
696	1305	567
697	1306	565
698	1309	563
699	1312	562
700	1313	560
701	1315	558
702	1316	556
703	1318	554
704	1320	552
705	1322	550
706	1323	548
707	1324	546
708	1327	544
709	1329	542
710	1330	540
711	1331	538
712	1333	536
713	1335	535
714	1337	533
715	1338	531
716	1341	529
717	1342	527
718	1343	525
719	1345	523
720	1346	521
721	1348	519
722	1349	517
723	1352	515
724	1354	513
725	1356	511
726	1357	509
727	1359	508
728	1361	506
729	1363	504
730	1365	502
731	1366	500
732	1368	498
733	1370	496
734	1372	494
735	1374	493
736	1375	491
737	1377	489
738	1379	487
739	1380	485
740	1382	483
741	1384	481
742	1387	479
743	1389	478
744	1391	476
745	1392	473
746	1394	472
747	1395	470
748	1396	467
749	1397	465
750	1400	464
751	1401	462
752	1403	460
753	1405	458
754	1406	456
755	1408	454
756	1410	452
757	1411	450
758	1414	449
759	1415	447
760	1417	445
761	1419	443
762	1420	441
763	1421	439
764	1423	437
765	1425	435
766	1427	433
767	1428	431
768	1429	429
769	1431	427
770	1432	425
771	1433	423
772	1435	421
773	1437	419
774	1439	417
775	1441	416
776	1442	414
777	1444	412
778	1446	410
779	1448	408
780	1450	406
781	1452	404
782	1453	402
783	1455	401
784	1461	400
785	1463	398
786	1464	396
787	1466	394
788	1468	392
789	1483	394
790	1486	392
791	1489	391
792	1491	389
793	1492	387
794	1495	385
795	1496	383
796	1498	381
797	1504	380
798	1508	379
799	1511	377
800	1513	375
801	1515	374
802	1518	372
803	1520	370
804	1522	368
805	1523	366
806	1525	364
807	1527	362
808	1529	361
809	1531	359
810	1532	357
811	1534	355
812	1536	353
813	1542	352
814	1547	351
815	1564	352
816	1566	350
817	1567	348
818	1570	347
819	1571	345
820	1575	343
821	1578	341
822	1579	339
823	1581	337
824	1583	335
825	1585	333
826	1587	332
827	1591	330
828	1592	328
829	1594	326
830	1596	324
831	1598	322
832	1601	321
833	1602	319
834	1604	317
835	1606	315
836	1607	313
837	1609	311
838	1614	309
839	1615	307
840	1617	305
841	1618	303
842	1620	301
843	1623	300
844	1628	298
845	1629	296
846	1630	294
847	1636	293
848	1642	292
849	1644	290
850	1646	288
851	1654	287
852	1656	285
853	1658	283
854	1660	281
855	1661	279
856	1664	277
857	1667	276
858	1669	274
859	1670	272
860	1672	270
861	1674	268
862	1676	266
863	1680	264
864	1682	262
865	1683	260
866	1685	258
867	1687	256
868	1689	254
869	1690	252
870	1693	250
871	1694	248
872	1696	246
873	1697	244
874	1699	242
875	1701	240
876	1705	239
877	1707	237
878	1709	235
879	1710	233
880	1714	231
881	1715	229
882	1718	227
883	1720	225
884	1722	223
885	1723	221
886	1727	220
887	1729	218
888	1731	216
889	1732	214
890	1734	212
